School Type,State,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Primary School,Andaman and Nicobar Islands,208,207,209,213,213,215,226,205,207,212
Primary School,Andhra Pradesh,58249,61167,63897,61680,62159,62162,62464,65811,65932,66834
Primary School,Arunachal Pradesh,1315,1337,1364,1371,1380,1438,1561,1721,1841,1941
Primary School,Assam,33236,30045,30068,30068,30499,30094,31042,31042,31202,31202
Primary School,Bihar,39299,40511,40337,39347,38161,40294,45980,45557,43445,42573
Primary School,Chandigarh,29,26,24,25,25,31,30,25,25,24
Primary School,Chhattisgarh,31023,23951,32556,33595,30870,32731,34034,34420,35344,35274
Primary School,Dadra and Nagar Haveli,137,126,127,127,127,169,174,172,170,210
Primary School,Daman and Diu,53,50,53,53,53,53,50,50,50,66
Primary School,Delhi,2415,2111,2126,2463,2617,2595,2569,2593,2586,2563
Primary School,Goa,1033,1037,1009,1003,1001,1219,1253,1253,1252,1254
Primary School,Gujarat,15545,7245,7233,16385,16385,16443,17443,NA,NA,NA
Primary School,Haryana,11208,9619,11500,11800,12152,6843,13602,13052,13073,13987
Primary School,Himachal Pradesh,10877,10868,11013,11178,11261,11525,11517,11517,11301,11376
Primary School,Jammu and Kashmir,10926,10488,12256,12049,13369,13369,13369,15138,15446,15446
Primary School,Jharkhand,16643,17059,16417,16572,16186,18941,19818,19818,26588,26731
Primary School,Karnataka,22404,26254,26163,26645,27017,28499,28871,26644,26254,26302
Primary School,Kerala,6754,6697,6717,6827,6817,6817,6802,6860,6796,6790
Primary School,Lakshadweep,20,4,20,21,21,21,21,20,23,23
Primary School,Madhya Pradesh,62530,54233,66648,96737,94890,98345,98463,97800,105592,43662
Primary School,Maharashtra,45971,40850,41258,41669,41615,42467,42467,45931,49101,49095
Primary School,Manipur,2573,2552,2552,2552,2552,2563,2563,2579,2579,2435
Primary School,Meghalaya,5646,5807,5851,5851,5851,6351,6618,6618,6618,6627
Primary School,Mizoram,1377,1253,1504,1481,1688,1700,1752,1783,1782,1821
Primary School,Nagaland,1499,1352,1495,1520,1520,1520,1662,1662,1662,1662
Primary School,Odisha,42104,36677,42104,45700,46370,46722,49765,52138,52972,54150
Primary School,Puducherry,319,319,329,328,327,319,309,301,300,301
Primary School,Punjab,13074,13340,13265,13352,13291,13291,13238,16784,16954,13950
Primary School,Rajasthan,38342,32953,55757,55942,56573,57656,55361,49887,49538,47818
Primary School,Sikkim,501,497,497,684,733,761,772,769,749,749
Primary School,Tamil Nadu,31488,33394,32242,33470,34208,35146,29364,29654,27037,28218
Primary School,Tripura,2095,2054,2075,1776,1863,2142,2151,2120,2379,2307
Primary School,Uttar Pradesh,88927,113546,119404,129976,134455,137366,127247,129632,132403,147376
Primary School,Uttarakhand,13795,13902,14304,14663,14847,15058,15356,15356,15644,15660
Primary School,West Bengal,52426,49851,49865,50397,49986,49986,49913,49913,73100,49908
Upper Primary School,Andaman and Nicobar Islands,55,56,56,58,60,64,64,69,67,67
Upper Primary School,Andhra Pradesh,14472,15054,15215,16667,17290,17823,17957,14993,15384,15421
Upper Primary School,Arunachal Pradesh,347,360,449,495,528,588,664,813,871,920
Upper Primary School,Assam,8019,7704,8143,8143,9716,11347,13023,13023,14133,14133
Upper Primary School,Bihar,9691,9783,9922,10963,12328,13369,16245,18007,20696,25587
Upper Primary School,Chandigarh,16,7,9,8,9,9,11,18,18,23
Upper Primary School,Chhattisgarh,6358,6293,9350,10799,9488,11351,14066,14113,15147,15488
Upper Primary School,Dadra and Nagar Haveli,58,86,91,91,91,102,108,112,127,85
Upper Primary School,Daman and Diu,22,24,24,24,24,24,24,24,24,37
Upper Primary School,Delhi,680,661,681,635,645,638,640,659,583,588
Upper Primary School,Goa,84,75,79,73,72,71,442,439,444,438
Upper Primary School,Gujarat,21205,30646,30646,22623,22623,22621,23927,42035,42145,42145
Upper Primary School,Haryana,1847,2263,2171,2269,2168,2573,3196,3458,3439,3483
Upper Primary School,Himachal Pradesh,1768,1902,2076,2210,2457,2566,5009,5015,4921,5084
Upper Primary School,Jammu and Kashmir,3728,3976,3613,4239,5202,5202,5202,7382,8877,8877
Upper Primary School,Jharkhand,4187,4270,4324,4933,6232,7878,9996,9996,14070,14863
Upper Primary School,Karnataka,27712,23643,25612,26816,27512,27849,27570,30876,32041,33126
Upper Primary School,Kerala,2983,2988,2975,3049,3044,3037,3042,3092,3062,3059
Upper Primary School,Lakshadweep,3,20,4,6,5,4,4,10,10,10
Upper Primary School,Madhya Pradesh,25090,27643,30592,34641,35133,37095,38107,39227,43752,96797
Upper Primary School,Maharashtra,24574,25775,26033,26295,26270,26863,26863,26930,27271,27654
